,long,lat,userId
22,-4.1443187,43.3623949,832040388
44,-0.975786,53.890926,2850462590
69,-8.6323091,42.8237296,259250826
81,-8.6323091,42.8237296,224194260
88,1.9998292,41.4150361,35187450
114,-8.6073341,42.5707889,224194260
141,-8.3697031,42.5903164,224194260
186,-8.264704,42.5342268,224194260
187,-3.6997962,37.1359031,4870774228
195,-6.370343479445446,39.47464374023776,1165317035204718592
213,140.10228255,35.33251154,2239261477
226,-82.620093,27.821353,873044480538034180
236,-8.0486071,42.4239773,224194260
237,-8.61946304295237,42.310052799823204,47168290
247,-7.901255039283986,42.445308156958724,224194260
258,-8.0037342,42.2881793,224194260
317,-8.8371555,42.5238096,708727288532221953
342,-2.9860102,43.2136542,832040388
377,-7.551313,42.12182,224194260
382,-7.5649373,42.0085332,224194260
396,-6.0201004,43.2788671,805894013584834561
408,-1.6919101,43.3554052,2880931653
418,-2.7175515,43.294628,832040388
421,-2.2848111,42.4864482,1549026217
430,-0.975786,53.890926,2850462590
477,-3.5450651,42.490301,53338467
538,-0.39216,51.391383,826756416
546,-8.6323091,42.8237296,1444085527
552,-1.4668122,38.1707363,1090578755695841281
584,-4.04614,42.3129,89317067
595,-6.633789539337158,42.05499668284391,224194260
617,-3.8890049,40.3120713,93215604
636,-2.03533,42.67265,164227705
679,-6.361502408981323,42.488919081934654,156592010
702,1.1439807,41.1297662,257976873
721,-3.794911,42.284782,1272945917273026561
723,-6.0201004,43.2788671,805894013584834561
732,-2.949419521596921,43.260354017905875,832040388
752,-0.1641578,39.848549,257976873
754,-6.0201004,43.2788671,2354754331
796,-6.5515333,42.4764402,2261600762
826,-0.1641578,39.848549,257976873
831,-3.5450651,42.490301,53338467
853,-8.2204775,43.3149174,3053420288
855,-5.767579554258528,41.81207646740196,224194260
874,-8.4712842,43.3013771,1338772938829541376
898,-0.1641578,39.848549,257976873
900,-5.803544,41.649749,224194260
901,-8.16406855,42.92727379,269213927
922,-1.3445432,42.9950498,164227705
925,-1.3445432,42.9950498,907142749144666112
955,-0.1641578,39.848549,257976873
1006,-0.98572,38.70853,785761
1025,-1.174093,41.4518349,780043643193290752
1036,-8.512293407475251,42.88495389075354,805894013584834561
1051,-8.406595587730408,43.38593893271157,1076303250
1063,-0.1641578,39.848549,257976873
1077,-101.52553,26.6988679,72067583
1092,-8.27078,43.2467147,1076303250
1094,-8.6323091,42.8237296,1011297442334199810
1118,-8.221455429827387,43.22180424849579,1076303250
1123,-8.068553448322362,43.417538244969215,1076303250
1129,-8.6323091,42.8237296,108358543
1142,-8.2229931,43.3736598,1076303250
1143,-1.174093,41.4518349,780043643193290752
1150,-8.282039165496826,43.46470951583092,1076303250
1153,-8.6323091,42.8237296,35169048
1154,-5.665493777740422,40.96287629300797,224194260
